0,0,188,32,85,113,251,0,908,1,2492,0,19,41,39,269,40,69,2083,767,946,75,39,54,433,4,1702,31,21,93,462,494,85,41,2,309,76,113,372,223,0,57,25,0,433,1,32,103,12,0,0
0,18,3680,3,10,6,8,2,33,1,169,3,12,2618,9,76,19,19,42,0,224,3,62,62,83,8,7,24,6,4,49,720,2,23,2,9,4,655,0,0,11,27,0,0,5,0,5,5,30,0,0
0,2944,0,0,0,1,16,3532,1,2,2,0,10,0,76,1,0,3,8,0,0,0,0,0,0,0,2,88,0,8,12,0,1,5,755,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,5,3,3,2705,0,2,0,4,0,0,1,0,14,0,1,23,394,1101,5,4,0,7,0,157,1,0,1,42,289,12,0,0,11,545,9,1259,26,0,43,0,0,268,0,9,6,0,0,0
0,0,2,1,42,6,21,0,30,2,2,151,7,1,0,411,1959,1986,10,26,12,44,3,141,5,29,11,1,87,0,17,92,33,5,0,16,0,0,6,2,0,1546,0,4,7,0,0,2,2,0,0
0,0,11,1992,16,1546,106,0,22,1,21,39,4,1,2,32,12,0,41,32,22,60,10,140,12,7,15,0,118,0,15,6,97,7,0,19,0,0,36,740,4,6,1,538,3,1,5,221,27,551,0
0,8,116,27,178,58,1,7,1459,2,263,175,29,30,6,562,295,169,563,21,5,180,28,720,33,57,251,18,75,19,389,154,9,26,12,177,4,11,10,1,0,45,7,32,1,4,4,13,37,0,0
0,0,1,4,195,31,0,0,3,0,4,2569,0,0,0,150,309,0,4,0,0,84,0,640,0,11,0,0,960,0,3,0,0,0,0,23,0,0,0,1,0,5,0,977,0,0,3,2,21,0,0
0,0,24,491,3,1929,5,0,115,0,22,0,24,0,4,37,3,2,125,6,3,12,9,50,26,8,94,2,64,1,12,5,10,4,0,1,0,1,9,253,1,9,0,37,2,0,412,1105,513,3,0
0,10,0,100,1,17,33,3,16,1670,13,1,41,1,10,55,76,220,1,0,13,3,68,3,0,167,22,1,36,6,14,3,12,141,64,1,18,7,0,2,0,2,1028,15,26,0,13,10,0,123,808
4619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,119,1,270,6,17,18,62,58,764,15,0,50,0,96,21,0,6,4,0,15,0,4,3,81,15,90,8,3,1779,12,6,11,36,375,4,8,0,0,0,278,2,0,16,8,0,61,22,15,2,3
0,1,13,15,1,22,9,0,17,0,3,0,7,731,0,26,13,3,0,0,8,1,2693,49,0,36,0,5,1,0,16,274,2,0,0,2,0,73,0,0,0,0,0,0,0,5,0,1,0,0,0
0,0,2,0,1816,0,0,0,3,0,103,38,0,1,0,5,0,0,16,26,193,963,0,91,0,0,1,0,0,0,2,9,0,1,0,687,0,0,0,34,0,0,0,6,0,0,0,0,0,0,0
0,0,37,11,803,34,0,0,54,1,493,56,3,1,1,218,35,12,107,226,72,510,6,94,24,0,8,0,17,1,41,22,0,6,0,354,1,0,1,581,1,0,0,11,1,0,0,6,4,0,0
0,707,0,3,0,0,8,161,6,0,0,0,6,0,25,1,0,2,7,0,0,0,0,0,0,0,3,2331,1,10,0,1,1,15,480,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
0,35,6,104,2,1,43,13,79,18,10,0,59,4,20,8,5,39,27,8,7,1,2,1,285,13,55,21,0,543,62,17,3,40,220,14,4,2,8,0,1494,8,2,2,11,1,209,6,35,1,0
