3,221,91,1,30,26,3,2,40,81,11,29,38,2,3,70,24,13,9,27,22,0,23,0,1,18,18,1,9,22,25,4,57,17,7,11,0,0,0
59,1,52,26,15,7,33,24,14,11,27,41,11,36,16,25,32,9,17,0,8,7,7,7,6,11,12,14,10,24,3,6,0,8,5,2,5,26,0
56,9,2,35,10,4,34,12,12,34,42,69,37,4,20,1,5,12,6,0,28,38,1,9,5,8,8,7,6,3,0,2,0,1,3,2,1,1,1
49,17,46,2,12,29,9,9,6,17,18,19,13,6,10,29,11,34,5,23,13,0,4,2,4,9,6,6,36,6,10,4,14,1,8,2,1,0,0
50,4,12,69,0,3,32,22,9,5,14,11,8,16,17,14,13,6,4,2,6,6,2,50,17,9,5,10,3,3,3,34,0,1,2,3,5,1,3
57,9,11,99,7,0,21,19,4,32,3,4,10,47,23,3,5,3,3,10,3,12,4,14,17,3,3,14,2,2,1,1,0,5,1,0,3,1,1
1,63,39,0,41,6,0,3,1,20,6,13,45,0,1,18,9,13,13,11,22,0,5,1,0,15,23,1,6,6,31,1,6,6,6,8,0,1,0
2,25,17,1,67,125,1,1,6,14,1,8,12,0,1,4,3,2,2,45,9,0,33,0,1,10,5,1,1,3,2,1,7,6,3,2,0,0,0
18,13,20,9,12,12,5,35,1,14,51,10,14,1,3,22,41,10,5,8,9,0,4,2,4,13,10,1,7,3,8,2,0,4,5,4,1,0,0
33,4,54,7,33,17,21,26,11,0,5,1,8,16,31,0,0,15,11,0,0,5,3,2,8,2,0,6,2,0,0,7,0,0,0,1,4,2,4
13,7,11,2,3,6,10,6,0,11,0,10,8,5,4,0,42,20,60,0,6,0,38,5,4,4,11,1,23,3,1,5,0,4,2,1,0,0,0
65,2,15,14,1,28,25,15,19,2,22,0,1,13,15,0,0,4,1,0,0,29,1,9,10,3,1,3,4,1,0,1,0,0,0,0,1,0,3
36,3,7,37,5,1,27,13,8,3,12,6,0,10,12,9,2,3,5,0,19,6,1,12,16,3,9,8,3,1,1,4,0,0,1,1,1,1,0
1,36,45,0,17,3,1,0,0,10,26,14,13,0,0,5,12,1,1,10,5,0,6,0,0,9,3,0,1,28,8,6,5,10,3,2,0,0,0
1,52,20,0,29,43,1,0,6,13,3,9,11,0,0,6,10,1,4,10,2,0,7,0,0,4,1,0,1,2,19,3,2,9,1,0,0,0,0
43,12,1,14,3,4,23,9,9,10,29,9,8,4,6,0,7,11,5,0,4,1,0,2,5,9,10,2,9,5,1,1,0,2,1,1,1,0,0
45,1,3,8,4,12,14,42,6,2,13,0,0,4,6,4,0,3,0,0,0,7,0,3,9,3,1,35,5,1,1,12,0,0,0,0,4,0,1
36,0,0,15,5,0,34,79,12,0,0,0,0,1,11,0,0,0,0,0,0,1,0,9,9,0,0,1,0,0,0,0,0,0,0,0,0,0,8
54,0,0,17,0,0,49,0,11,0,0,0,0,36,14,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0
80,2,0,24,3,0,18,4,47,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,1
15,1,6,7,28,28,8,14,23,0,2,1,0,5,7,0,0,1,1,0,0,1,0,5,8,0,0,5,0,0,0,3,0,0,0,0,2,3,2
15,17,9,1,5,2,5,4,2,6,4,14,9,2,2,13,4,4,4,11,4,0,4,1,2,3,4,1,4,2,6,2,1,2,1,2,1,0,0
29,15,1,36,4,2,4,5,7,1,2,4,1,1,3,0,1,33,1,0,1,4,0,1,1,1,0,2,0,0,0,1,0,0,2,1,1,0,2
8,14,12,2,7,3,2,3,7,19,3,4,9,2,2,11,7,1,23,5,1,0,1,1,2,3,4,1,1,2,4,2,1,0,0,0,0,0,0
6,15,14,1,7,1,2,3,1,9,5,5,9,2,1,5,5,2,2,14,6,0,15,1,0,5,5,2,2,1,4,2,1,4,2,1,1,0,0
20,1,4,6,13,14,11,18,21,1,3,9,1,3,5,0,0,1,1,0,1,2,1,6,4,0,1,1,0,0,0,3,0,0,0,0,2,0,2
19,0,0,19,20,13,12,13,7,0,1,0,0,8,7,2,0,0,0,0,0,1,0,13,2,0,0,5,0,0,0,2,0,0,0,0,3,3,2
4,45,11,0,13,1,2,3,1,5,3,4,5,1,1,9,2,2,2,4,5,0,4,1,1,2,3,1,2,1,8,0,0,0,1,3,0,0,0
20,0,0,15,0,0,4,11,9,0,1,0,0,39,21,0,0,2,0,0,0,4,0,6,1,0,0,4,0,0,0,3,0,0,0,0,7,0,1
10,1,1,0,30,49,4,7,5,0,0,0,0,4,6,5,0,1,0,0,0,2,0,1,3,0,0,7,0,0,0,2,0,0,0,0,0,0,3
17,5,5,6,7,9,8,5,19,3,2,3,3,6,6,3,3,2,6,0,2,0,0,3,4,1,2,1,3,1,0,2,0,0,0,0,1,1,0
40,0,0,2,0,0,4,4,27,0,0,0,0,0,3,0,0,0,0,0,0,37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
9,1,4,1,2,3,2,2,1,9,10,3,1,0,1,3,2,4,3,0,2,0,1,0,0,3,2,0,4,19,1,2,0,1,0,1,0,0,0
19,2,1,4,1,1,6,4,16,1,3,2,0,1,5,0,2,1,1,0,1,4,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,2,1
8,0,1,3,2,1,2,3,7,2,2,1,1,1,2,1,1,0,1,0,1,3,0,2,4,1,1,1,1,1,0,1,0,1,1,1,0,1,1
12,1,1,4,1,7,3,1,4,1,2,0,0,1,2,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0
1,14,4,0,2,0,2,0,3,2,1,1,1,0,1,1,2,2,2,4,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2,3,4,0,28,0,0,0,1,0,0,0,0,1,0,2,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,0,3,2,0,0,0,5,0,2,1,0,0,2,4,0,1,4,0,0,1,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0
